transaction_id,customer_id,book_id,type,date
T001,C001,B001,borrow,2025-01-12
T002,C001,B015,purchase,2025-02-03
T003,C002,B014,borrow,2025-01-20
T004,C002,B019,borrow,2025-02-14
T005,C002,B008,purchase,2025-03-01
T006,C003,B004,borrow,2025-01-05
T007,C003,B017,borrow,2025-02-10
T008,C004,B010,purchase,2025-01-18
T009,C004,B036,borrow,2025-02-22
T010,C005,B006,borrow,2025-01-11
T011,C005,B012,borrow,2025-02-19
T012,C006,B002,purchase,2025-01-09
T013,C006,B009,borrow,2025-02-15
T014,C006,B032,borrow,2025-03-05
T015,C007,B013,borrow,2025-01-14
T016,C007,B018,borrow,2025-02-08
T017,C008,B037,borrow,2025-01-22
T018,C008,B026,purchase,2025-02-27
T019,C009,B020,borrow,2025-01-30
T020,C009,B024,borrow,2025-02-25
T021,C010,B009,borrow,2025-01-16
T022,C010,B048,purchase,2025-02-11
T023,C011,B016,borrow,2025-01-19
T024,C011,B039,borrow,2025-02-21
T025,C012,B033,borrow,2025-01-25
T026,C013,B044,borrow,2025-01-13
T027,C013,B047,purchase,2025-02-17
T028,C014,B038,borrow,2025-01-27
T029,C015,B022,borrow,2025-01-31
T030,C015,B030,borrow,2025-02-24
T031,C002,B029,purchase,2025-03-20
T032,C002,B011,borrow,2025-04-02
